sample;site;%_seagrass;%_algae;%_epiphyte;shoot_density;Cr;Cs;Hu;Ho;Th;Tc;Ea;Si;Hs;sand;species;diversity;evenness;canopy;leaf;width;no_leaves1
1;Maruhubi;80.00;5.00;0.00;73.00;4.00;72.00;0.00;0.00;0.00;0.00;0.00;4.00;0.00;20.00;3.00;1.23;0.41;23.67;23.67;1.50;4.00
1;Maruhubi;80.00;5.00;0.00;82.00;4.00;72.00;0.00;0.00;0.00;0.00;0.00;4.00;0.00;20.00;3.00;1.23;0.41;25.00;25.00;1.47;4.00
1;Maruhubi;0.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
1;Maruhubi;75.00;40.00;0.00;69.00;3.75;67.50;0.00;0.00;0.00;0.00;0.00;3.75;0.00;25.00;3.00;1.23;0.41;26.33;26.33;1.47;4.00
1;Maruhubi;80.00;32.00;0.00;80.00;8.00;64.00;0.00;0.00;0.00;0.00;0.00;8.00;0.00;20.00;3.00;1.52;0.51;25.67;25.67;1.47;3.00
1;Maruhubi;90.00;30.00;0.00;83.00;0.00;85.50;0.00;0.00;0.00;0.00;0.00;4.50;0.00;10.00;2.00;1.10;0.55;24.33;24.33;1.53;4.00
1;Maruhubi;95.00;20.00;0.00;91.00;4.75;85.50;0.00;0.00;0.00;0.00;0.00;4.75;0.00;5.00;3.00;1.23;0.41;27.67;27.67;1.50;3.00
1;Maruhubi;90.00;12.00;0.00;90.00;4.50;72.00;0.00;0.00;0.00;0.00;0.00;13.50;0.00;10.00;3.00;1.50;0.50;26.00;26.00;1.47;4.00
1;Maruhubi;92.00;0.00;0.00;96.00;4.60;78.20;0.00;0.00;0.00;0.00;0.00;9.20;0.00;8.00;3.00;1.36;0.45;24.33;24.33;1.50;4.00
1;Maruhubi;87.00;0.00;0.00;89.00;8.70;78.30;0.00;0.00;0.00;0.00;0.00;0.00;0.00;13.00;2.00;1.22;0.61;24.00;24.00;1.47;3.00
1;Maruhubi;88.00;0.00;0.00;85.00;8.80;70.40;0.00;0.00;0.00;0.00;0.00;8.80;0.00;12.00;3.00;1.52;0.51;24.67;24.67;1.50;2.00
